type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc,abstract
article,1862923,Radu  Berinde and Piotr  Indyk and Graham  Cormode and Martin J. Strauss,,,,Space-optimal Heavy Hitters with Strong Error Bounds,26:1--26:28,26,28,"Frequency estimation, heavy hitters, streaming algorithms",10.1145/1862919.1862923,ACM Trans. Database Syst.,November 2010,35,4,,October,2010,0362-5915,,,,,,ACM,"New York, NY, USA","The problem of finding heavy hitters and approximating the frequencies of items is at the heart of many problems in data stream analysis. It has been observed that several proposed solutions to this problem can outperform their worst-case guarantees on real data. This leads to the question of whether some stronger bounds can be guaranteed. We answer this in the positive by showing that a class of counter-based algorithms (including the popular and very space-efficient Frequent and SpacesSaving algorithms) provides much stronger approximation guarantees than previously known. Specifically, we show that errors in the approximation of individual elements do not depend on the frequencies of the most frequent elements, but only on the frequency of the remaining tail. This shows that counter-based methods are the most space-efficient (in fact, space-optimal) algorithms having this strong error bound. This tail guarantee allows these algorithms to solve the sparse recovery problem. Here, the goal is to recover a faithful representation of the vector of frequencies, f. We prove that using space O(k), the algorithms construct an approximation f* to the frequency vector f so that the L1 error ∥∥f−∥f*∥1 is close to the best possible error minf′ ∥f′ − f∥1, where f′ ranges over all vectors with at most k non-zero entries. This improves the previously best known space bound of about O(k log n) for streams without element deletions (where n is the size of the domain from which stream elements are drawn). Other consequences of the tail guarantees are results for skewed (Zipfian) data, and guarantees for accuracy of merging multiple summarized streams."
article,1559819,Radu  Berinde and Graham  Cormode and Piotr  Indyk and Martin J. Strauss,,,,Space-optimal Heavy Hitters with Strong Error Bounds,157--166,,10,"frequency estimation, heavy hitters, streaming algorithms",10.1145/1559795.1559819,,,,,,,2009,,Proceedings of the Twenty-eighth ACM SIGMOD-SIGACT-SIGART Symposium on Principles of Database Systems,PODS '09,,978-1-60558-553-6,"Providence, Rhode Island, USA",ACM,"New York, NY, USA","The problem of finding heavy hitters and approximating the frequencies of items is at the heart of many problems in data stream analysis. It has been observed that several proposed solutions to this problem can outperform their worst-case guarantees on real data. This leads to the question of whether some stronger bounds can be guaranteed. We answer this in the positive by showing that a class of ""counter-based algorithms"" (including the popular and very space-efficient FREQUENT and SPACESAVING algorithms) provide much stronger approximation guarantees than previously known. Specifically, we show that errors in the approximation of individual elements do not depend on the frequencies of the most frequent elements, but only on the frequency of the remaining ""tail."" This shows that counter-based methods are the most space-efficient (in fact, space-optimal) algorithms having this strong error bound. This tail guarantee allows these algorithms to solve the ""sparse recovery"" problem. Here, the goal is to recover a faithful representation of the vector of frequencies, f. We prove that using space O(k), the algorithms construct an approximation f* to the frequency vector f so that the L1 error ||f -- f*||1 is close to the best possible error minf2 ||f2 -- f||1, where f2 ranges over all vectors with at most k non-zero entries. This improves the previously best known space bound of about O(k log n) for streams without element deletions (where n is the size of the domain from which stream elements are drawn). Other consequences of the tail guarantees are results for skewed (Zipfian) data, and guarantees for accuracy of merging multiple summarized streams."
article,2908894,Sam  Cramer and Michael  Kampouridis and Alex  Freitas,,,,A Genetic Decomposition Algorithm for Predicting Rainfall Within Financial Weather Derivatives,885--892,,8,"decomposition, genetic programming, rainfall derivatives, rainfall prediction",10.1145/2908812.2908894,,,,,,,2016,,Proceedings of the Genetic and Evolutionary Computation Conference 2016,GECCO '16,,978-1-4503-4206-3,"Denver, Colorado, USA",ACM,"New York, NY, USA","Regression problems provide some of the most challenging research opportunities, where the predictions of such domains are critical to a specific application. Problem domains that exhibit large variability and are of chaotic nature are the most challenging to predict. Rainfall being a prime example, as it exhibits very unique characteristics that do not exist in other time series data. Moreover, rainfall is essential for applications that surround financial securities such as rainfall derivatives. This paper is interested in creating a new methodology for increasing the predictive accuracy of rainfall within the problem domain of rainfall derivatives. Currently, the process of predicting rainfall within rainfall derivatives is dominated by statistical models, namely Markov-chain extended with rainfall prediction (MCRP). In this paper, we propose a novel algorithm for decomposing rainfall, which is a hybrid Genetic Programming/Genetic Algorithm (GP/GA) algorithm. Hence, the overall problem becomes easier to solve. We compare the performance of our hybrid GP/GA, against MCRP, Radial Basis Function and GP without decomposition. We aim to show the effectiveness that a decomposition algorithm can have on the problem domain. Results show that in general decomposition has a very positive effect by statistically outperforming GP without decomposition and MCRP."
article,2627437,Manu  Nandan and Pramod P. Khargonekar and Sachin S. Talathi,,,,Fast SVM Training Using Approximate Extreme Points,59--98,,40,"convex hulls, extreme points, large scale classification, non-linear kernels, support vector machines",,J. Mach. Learn. Res.,January 2014,15,1,,January,2014,1532-4435,,,,,,JMLR.org,,"Applications of non-linear kernel support vector machines (SVMs) to large data sets is seriously hampered by its excessive training time. We propose a modification, called the approximate extreme points support vector machine (AESVM), that is aimed at overcoming this burden. Our approach relies on conducting the SVM optimization over a carefully selected subset, called the representative set, of the training data set. We present analytical results that indicate the similarity of AESVM and SVM solutions. A linear time algorithm based on convex hulls and extreme points is used to compute the representative set in kernel space. Extensive computational experiments on nine data sets compared AESVM to LIBSVM (Chang and Lin, 2011), CVM (Tsang et al., 2005), BVM (Tsang et al., 2007), LASVM (Bordes et al., 2005), SVMperf (Joachims and Yu, 2009), and the random features method (Rahimi and Recht, 2007). Our AESVM implementation was found to train much faster than the other methods, while its classification accuracy was similar to that of LIBSVM in all cases. In particular, for a seizure detection data set, AESVM training was almost 500 times faster than LIBSVM and LASVM and 20 times faster than CVM and BVM. Additionally, AESVM also gave competitively fast classification times."
article,3053473,Stijn  Luca and David A. Clifton and Bart  Vanrumste,,,,One-class Classification of Point Patterns of Extremes,6581--6601,,21,"asymptotic theory, class imbalance, extreme value theory, novelty detection, sequence classification",,J. Mach. Learn. Res.,January 2016,17,1,,January,2016,1532-4435,,,,,,JMLR.org,,"Novelty detection or one-class classification starts from a model describing some type of 'normal behaviour' and aims to classify deviations from this model as being either novelties or anomalies. In this paper the problem of novelty detection for point patterns S = {x1,...,xk} ⊂ Rd is treated where examples of anomalies are very sparse, or even absent. The latter complicates the tuning of hyperparameters in models commonly used for novelty detection, such as one-class support vector machines and hidden Markov models. To this end, the use of extreme value statistics is introduced to estimate explicitly a model for the abnormal class by means of extrapolation from a statistical model X for the normal class. We show how multiple types of information obtained from any available extreme instances of S can be combined to reduce the high false-alarm rate that is typically encountered when classes are strongly imbalanced, as often occurs in the one-class setting (whereby 'abnormal' data are often scarce). The approach is illustrated using simulated data and then a real-life application is used as an exemplar, whereby accelerometry data from epileptic seizures are analysed - these are known to be extreme and rare with respect to normal accelerometer data."
article,3056641,Songpon  Sastrawaha and Punyaphol  Horata,,,,Ensemble Extreme Learning Machine for Multi-instance Learning,56--60,,5,"Ensembles, Extreme Learning Machine, Majority voting, Multi-instance learning",10.1145/3055635.3056641,,,,,,,2017,,Proceedings of the 9th International Conference on Machine Learning and Computing,ICMLC 2017,,978-1-4503-4817-1,"Singapore, Singapore",ACM,"New York, NY, USA","Multi-instance learning (MIL) is a classification approach for classifying on a collection of instances which each group is represented as a bag. The main task of MIL is to learn from labels and features of instances to produce a model to predict a label of a testing bag. Traditional MIL algorithms were proposed to address the MIL problem, but most of the algorithms take a large time scale for their training process since they have to computing the parameter tuning. To address the learning time problem, the multi-instance learning method based on extreme learning machine (ELM-MIL) was proposed. However, the randomly generated parameters of ELM-MIL may reduce its generalization performance. Therefore, we proposed a new method to improve the generalization performance of the ELM-MIL which the new method is based on the ensemble with majority voting approach named the ensemble extreme learning machine for multi-instance learning (E-ELM-MIL). To evaluate the new method, several benchmark datasets were studied in this paper. From experimental results show that E-ELM-MIL outperforms ELM-MIL and the other state of the art MIL algorithm."
article,2978409,Zhan  Qin and Yin  Yang and Ting  Yu and Issa  Khalil and Xiaokui  Xiao and Kui  Ren,,,,Heavy Hitter Estimation over Set-Valued Data with Local Differential Privacy,192--203,,12,"heavy hitter, local differential privacy",10.1145/2976749.2978409,,,,,,,2016,,Proceedings of the 2016 ACM SIGSAC Conference on Computer and Communications Security,CCS '16,,978-1-4503-4139-4,"Vienna, Austria",ACM,"New York, NY, USA","In local differential privacy (LDP), each user perturbs her data locally before sending the noisy data to a data collector. The latter then analyzes the data to obtain useful statistics. Unlike the setting of centralized differential privacy, in LDP the data collector never gains access to the exact values of sensitive data, which protects not only the privacy of data contributors but also the collector itself against the risk of potential data leakage. Existing LDP solutions in the literature are mostly limited to the case that each user possesses a tuple of numeric or categorical values, and the data collector computes basic statistics such as counts or mean values. To the best of our knowledge, no existing work tackles more complex data mining tasks such as heavy hitter discovery over set-valued data. In this paper, we present a systematic study of heavy hitter mining under LDP. We first review existing solutions, extend them to the heavy hitter estimation, and explain why their effectiveness is limited. We then propose LDPMiner, a two-phase mechanism for obtaining accurate heavy hitters with LDP. The main idea is to first gather a candidate set of heavy hitters using a portion of the privacy budget, and focus the remaining budget on refining the candidate set in a second phase, which is much more efficient budget-wise than obtaining the heavy hitters directly from the whole dataset. We provide both in-depth theoretical analysis and extensive experiments to compare LDPMiner against adaptations of previous solutions. The results show that LDPMiner significantly improves over existing methods. More importantly, LDPMiner successfully identifies the majority true heavy hitters in practical settings."
article,3055374,Ruizhou  Ding and Dimitrios  Stamoulis and Kartikeya  Bhardwaj and Diana  Marculescu and Radu  Marculescu,,,,Enhancing Precipitation Models by Capturing Multivariate and Multiscale Climate Dynamics,39--42,,4,"carbon emissions, climate anomalies, complex network properties, complex networks, precipitation",10.1145/3055366.3055374,,,,,,,2017,,Proceedings of the 3rd International Workshop on Cyber-Physical Systems for Smart Water Networks,CySWATER '17,,978-1-4503-4975-8,"Pittsburgh, Pennsylvania",ACM,"New York, NY, USA","To improve precipitation predictions and enable accurate rainfall models for smart water networks, it is imperative to account for multivariate and multiscale precipitation dynamics with long-memory temporal relationships, long-range spatial dependencies, and low-frequency variability. While prior art has motivated the use of complex networks to capture these trends, existing work is limited to specific climate phenomena (such as El Niño) and regions. In this paper we employ a comprehensive assessment of complex networks with respect to multivariate dynamics across multiple temporal and spatial scales (multiscale). Our work is the first to incorporate both carbon emissions and precipitation anomalies data into a multivariate analysis. By effectively substantiating the ability of complex networks to capture multivariate and multiscale climate dynamics, we postulate their potential as reanalysis and assessment tools to enhance regional water models of arbitrary range and granularity, and to eventually enable reliable smart water systems."
article,2946663,Daniel  Hsu and Sivan  Sabato,,,,Loss Minimization and Parameter Estimation with Heavy Tails,543--582,,40,"heavy-tailed distributions, least squares, linear regression, unbounded losses",,J. Mach. Learn. Res.,January 2016,17,1,,January,2016,1532-4435,,,,,,JMLR.org,,"This work studies applications and generalizations of a simple estimation technique that provides exponential concentration under heavy-tailed distributions, assuming only bounded low-order moments. We show that the technique can be used for approximate minimization of smooth and strongly convex losses, and specifically for least squares linear regression. For instance, our d-dimensional estimator requires just O(d log(1/δ)) random samples to obtain a constant factor approximation to the optimal least squares loss with probability 1-δ, without requiring the covariates or noise to be bounded or subgaussian. We provide further applications to sparse linear regression and low-rank covariance matrix estimation with similar allowances on the noise and covariate distributions. The core technique is a generalization of the median-of-means estimator to arbitrary metric spaces."
article,2791468,K.  Namitha and A.  Jayapriya and G. Santhosh Kumar,,,,Rainfall Prediction Using Artificial Neural Network on Map-Reduce Framework,492--495,,4,"Artificial Neural Network, map-reduce, rainfall forecasting",10.1145/2791405.2791468,,,,,,,2015,,Proceedings of the Third International Symposium on Women in Computing and Informatics,WCI '15,,978-1-4503-3361-0,"Kochi, India",ACM,"New York, NY, USA","Big data is a celebrated topic in Business as well as research community for several years. With the revolution of Big Data, it is becoming easy and less expensive to store tremendous amount of data for future analysis. Weather data gets accumulated very fast and on a large scale. Thorough analysis and research is required on handling this big data and utilizing it for accurate weather prediction. As deterministic weather forecasting models are usually time consuming, it becomes challenging to efficiently use this large volume of data in hand. Machine learning methods are already proved to be good replacement for traditional deterministic approaches in weather prediction. These algorithms are popular for their scalability and hence more suitable in big data solutions. This paper proposes an approach of processing such Big volume of weather Data using Hadoop. Proposal includes Artificial Neural Network implemented on Map-reduce framework for short term rainfall prediction. Rainfall is predicted one day ahead using temperature and rainfall data of immediately preceding days. Temperature and Rainfall data of India over past 63 years (1951-2013) is used for this study."
article,1141985,Kshitiz  Garg and Shree K. Nayar,,,,Photorealistic Rendering of Rain Streaks,996--1002,,7,"oscillations, particle system, rain rendering, rain streak appearance, rain streak database, raindrops",10.1145/1141911.1141985,ACM Trans. Graph.,July 2006,25,3,,July,2006,0730-0301,,,,,,ACM,"New York, NY, USA","Photorealistic rendering of rain streaks with lighting and viewpoint effects is a challenging problem. Raindrops undergo rapid shape distortions as they fall, a phenomenon referred to as oscillations. Due to these oscillations, the reflection of light by, and the refraction of light through, a falling raindrop produce complex brightness patterns within a single motion-blurred rain streak captured by a camera or observed by a human. The brightness pattern of a rain streak typically includes speckles, multiple smeared highlights and curved brightness contours. In this work, we propose a new model for rain streak appearance that captures the complex interactions between the lighting direction, the viewing direction and the oscillating shape of the drop. Our model builds upon a raindrop oscillation model that has been developed in atmospheric sciences. We have measured rain streak appearances under a wide range of lighting and viewing conditions and empirically determined the oscillation parameters that are dominant in raindrops. Using these parameters, we have rendered thousands of rain streaks to create a database that captures the variations in streak appearance with respect to lighting and viewing directions. We have developed an efficient image-based rendering algorithm that uses our streak database to add rain to a single image or a captured video with moving objects and sources. The rendering algorithm is very simple to use as it only requires a coarse depth map of the scene and the locations and properties of the light sources. We have rendered rain in a wide range of scenarios and the results show that our physically-based rain streak model greatly enhances the visual realism of rendered rain."
